,Rank,Name,Unnamed: 0,Score,Kills,Deaths,Assists,Healing,Damage
0,2,twitchtvvita,0,35384,CNR,6,279,867,1605845
1,3,dosui,1,34999,16,10,206,1764,1660032
2,4,YoungNovy,2,18282,2,7,204,0,759616
3,4,job,3,34671,19,8,276,546,1547820
4,5,Alys,4,29934,16,9,272,4073,1318550
5,6,ALiteralWho,5,29326,16,CNR,188,0,1332300
6,6,Miden,6,28303,CNR,CNR,157,2170154,241440
7,7,Miden,7,28303,8,CNR,157,2170154,241440
8,7,Sa,8,CNR,5,CNR,157,2170154,241440
9,8,Bdericks,9,17355,2,7,175,0,727777
10,8,Maplewoodttv,10,27089,4,4,178,2094328,250670
11,9,PartyTime,11,27515,13,7,286,4445,1197932
12,10,xDeadly1,12,27501,2,5,251,3125,1190515
13,11,BdaBictim,13,27369,6,6,147,2097054,231455
14,12,LoveSong,14,25916,6,CNR,130,1880064,275772
15,13,POWQ,15,25735,8,6,256,3318,74
16,13,POWwQ,16,25735,8,6,256,3318,74
17,14,Ollie,17,25627,7,CNR,116,0,1216383
18,15,Unbidden,18,24701,2,1,218,0,1071095
19,16,RRRY,19,24622,16,1,236,1468,1072380
20,17,WashedAxePlayr94,20,22582,19,CNR,188,0,987638
21,18,Sqanto,21,22330,CNR,1,230,0,974007
22,19,Davx,22,22327,CNR,9,264,0,949361
23,19,IDavx,23,22327,1,CNR,264,0,949361
24,20,Rendon,24,22248,16,7,218,0,963437
25,21,ItsMae,25,21488,2,4,131,1840581,83621
26,22,Prasino,26,21417,16,CNR,195,0,933358
27,23,Aionarap,27,21091,1,1,194,0,913303
28,24,BudgingSauce,28,20965,9,6,287,3539,880487
29,25,BricktUp,29,20359,1,1,166,0,882497
30,26,NotSean,30,20255,10,7,159,0,916033
31,27,Wimpz,31,19555,2,6,171,0,837258
32,28,MatthewMconaughe,32,19455,3,6,169,1455364,153105
33,29,iMarvin,33,18978,15,6,136,0,843435
34,30,Cheebo,34,18713,18,16,169,0,806198
35,31,Otislord,35,18685,CNR,8,193,6,785265
36,32,powerpuffboyfx,36,18597,8,3,144,1374691,155504
37,33,Opositor,37,18300,8,7,247,0,769049
38,34,YoungNovy,38,18282,2,CNR,204,0,759616
39,35,JERICHO,39,18236,CNR,8,297,4725,738257
40,36,HollowGloom,40,17813,2,10,191,0,740654
41,37,xEvila,41,17451,8,7,130,1335843,132132
42,38,Bdericks,42,17355,2,7,175,0,727777
43,39,Fizzled,43,16567,6,6,299,3213,664746
44,40,Comcast,44,16366,16,1,185,0,685812
45,40,Comeast,45,16366,16,13,185,0,685812
46,40,omcast,46,16366,16,3,185,0,685812
47,41,flipperdog,47,16141,7,8,166,5670,703764
48,42,wedo,48,15484,9,6,157,1194329,76042
49,43,BuddhaG,49,15037,12,7,253,48232,571244
50,44,Ochrow,50,14488,3,13,133,1064062,118385
51,45,WWVexll,51,14011,4,6,168,CNR,606593
52,45,iWexll,52,14011,CNR,6,168,CNR,606593
53,46,FNBCN,53,13089,CNR,13,CNR,0,541487
54,47,Handbananal,54,12851,6,5,182,2102,637984
55,47,andbanana,55,12851,CNR,6,182,CNR,537984
56,48,AggressiveIce,56,11118,CNR,10,150,0,458431
57,49,Panic,57,10964,0,CNR,60,1010584,12954
58,50,mochi,58,10311,0,CNR,86,932457,6367
